"max_TimeGenerated [UTC]",OfficeObjectId,"Site_Url",SourceFileName
"4/20/2025, 9:10:00.000 AM","https://tikshuv.sharepoint.com/sites/TAYESET69/DocLib3/CamScanner 2024-12-16 15.29.pdf","https://tikshuv.sharepoint.com/sites/TAYESET69/","CamScanner 2024-12-16 15.29.pdf"
"4/20/2025, 8:52:58.000 AM","https://tikshuv.sharepoint.com/sites/TAYESET69/DocLib/עדכון 11.04.pdf","https://tikshuv.sharepoint.com/sites/TAYESET69/","עדכון 11.04.pdf"
"4/16/2025, 7:46:58.000 PM","https://tikshuv.sharepoint.com/sites/TAYESET69/DocLib/‎⁨תדריך המל יום ב⁩.pdf","https://tikshuv.sharepoint.com/sites/TAYESET69/","‎⁨תדריך המל יום ב⁩.pdf"
"4/15/2025, 1:04:33.000 PM","https://tikshuv.sharepoint.com/sites/E791/Shared Documents/מנשר יחידה/מנשר מפקדת היחידה - חזרה לפעילות מערכת זימון תורים.pdf","https://tikshuv.sharepoint.com/sites/E791/","מנשר מפקדת היחידה - חזרה לפעילות מערכת זימון תורים.pdf"
"4/14/2025, 1:08:23.000 PM","https://tikshuv.sharepoint.com/information documents/מדריך Teams.pdf","https://tikshuv.sharepoint.com/","מדריך Teams.pdf"
"4/14/2025, 12:40:42.000 PM","https://tikshuv.sharepoint.com/sites/TAYESET69/DocLib4/‎⁨לומדת בלוק ו׳⁩.pdf","https://tikshuv.sharepoint.com/sites/TAYESET69/","‎⁨לומדת בלוק ו׳⁩.pdf"
"4/14/2025, 12:34:02.000 PM","https://tikshuv.sharepoint.com/sites/Moreshetpakar2/1   7/אירוע קרב באח זיקים/עיתונאות וכתובה/_היו 2 אפשרויות - לרדת ממסלול או להסתכל קדימה, למען ה-7 שאינם__ ליווינו את המסע הבלתי ייאמן של הטירונים מהקרב בזיקים _ את_צ.pdf","https://tikshuv.sharepoint.com/sites/Moreshetpakar2/","_היו 2 אפשרויות - לרדת ממסלול או להסתכל קדימה, למען ה-7 שאינם__ ליווינו את המסע הבלתי ייאמן של הטירונים מהקרב בזיקים _ את_צ.pdf"
"4/14/2025, 12:28:47.000 PM","https://tikshuv.sharepoint.com/sites/torotbsisiot/DocLib/העשייה הצבאית.pdf","https://tikshuv.sharepoint.com/sites/torotbsisiot/","העשייה הצבאית.pdf"
"4/14/2025, 12:27:57.000 PM","https://tikshuv.sharepoint.com/sites/msteams_7b778f/Shared Documents/מרכז המענים המשולבים/הפעלת כח/משימת צפון - הערכות/מנהלת אופק צפוני - לא להפצה/אודות מנהלת אופק צפוני.pdf","https://tikshuv.sharepoint.com/sites/msteams_7b778f/","אודות מנהלת אופק צפוני.pdf"
"4/10/2025, 8:05:04.000 PM","https://tikshuv.sharepoint.com/sites/TAYESET69/DocLib/עדכון 28.03.pdf","https://tikshuv.sharepoint.com/sites/TAYESET69/","עדכון 28.03.pdf"
"4/8/2025, 7:22:50.000 AM","https://tikshuv.sharepoint.com/sites/TAYESET69/DocLib/עדכון 19.10.pdf","https://tikshuv.sharepoint.com/sites/TAYESET69/","עדכון 19.10.pdf"
